// Intrepid WormE 3D contacts, Projection: LAM_AUST2, Datum: GDA94
// Intrepid assumes the solutions are below a aero-survey drape surface (zero value), with Z positive upwards
Contact,Easting,Northing,Elevation,Anomaly
Contact48,1402425.625000,-2732559.000000,-15800.000000,0.001545
Contact48,1411635.625000,-2760000.000000,-15800.000000,0.002374
Contact48,1422679.500000,-2798400.000000,-15800.000000,0.001489
Contact48,1438239.000000,-2836800.000000,-15800.000000,0.000944
Contact48,1443236.000000,-2862969.250000,-15800.000000,0.001005
Contact49,-1781221.000000,-2783045.750000,-15800.000000,0.001275
Contact49,-1736000.000000,-2801920.000000,-15800.000000,0.001064
Contact49,-1684800.000000,-2825463.500000,-15800.000000,0.001527
Contact49,-1634292.375000,-2845716.500000,-15800.000000,0.001391
Contact50,1612267.375000,-2810134.000000,-15800.000000,0.001265
Contact50,1628935.000000,-2833201.750000,-15800.000000,0.001503
Contact50,1638638.500000,-2862105.000000,-15800.000000,0.001626
Contact50,1647617.500000,-2888082.250000,-15800.000000,0.002012
Contact51,-1192666.500000,-2826799.750000,-15800.000000,0.001346
Contact51,-1218022.125000,-2829004.750000,-15800.000000,0.001433
Contact51,-1256000.000000,-2828476.000000,-15800.000000,0.002179
Contact51,-1294400.000000,-2836445.750000,-15800.000000,0.001973
Contact51,-1296533.375000,-2836784.250000,-15800.000000,0.001772
Contact52,-1911575.125000,-2844691.500000,-15800.000000,0.002136
Contact52,-1891717.750000,-2870949.000000,-15800.000000,0.002901
Contact52,-1871049.875000,-2904416.750000,-15800.000000,0.004510
Contact52,-1857601.625000,-2939200.000000,-15800.000000,0.002583
Contact52,-1863564.750000,-2962231.500000,-15800.000000,0.001577
Contact53,1173673.750000,-2859952.000000,-15800.000000,0.000362
Contact53,1160322.125000,-2904649.250000,-15800.000000,0.001030
Contact53,1136361.375000,-2936172.000000,-15800.000000,0.001965
Contact53,1105093.625000,-2963173.000000,-15800.000000,0.001948
Contact53,1081304.000000,-2999762.750000,-15800.000000,0.001354
Contact53,1081304.000000,-2999762.750000,-15800.000000,0.001354
Contact53,1177645.875000,-2876266.750000,-3300.000000,0.002873
Contact53,1165256.125000,-2900877.250000,-3300.000000,0.004739
Contact53,1152082.000000,-2917251.250000,-3300.000000,0.007992
Contact53,1134464.250000,-2932735.750000,-3300.000000,0.007059
Contact53,1117830.750000,-2947236.000000,-3300.000000,0.005191
Contact53,1111734.125000,-2951199.250000,-3300.000000,0.004631
Contact54,-1138666.625000,-2862422.000000,-15800.000000,0.001850
Contact54,-1096443.250000,-2868356.750000,-15800.000000,0.001910
Contact54,-1069538.625000,-2893128.000000,-15800.000000,0.001380
Contact54,-1019200.000000,-2910362.000000,-15800.000000,0.001112
Contact54,-1077280.125000,-2885005.500000,-3300.000000,0.001161
Contact54,-1060611.875000,-2889254.750000,-3300.000000,0.001458
Contact54,-1038400.000000,-2895567.750000,-3300.000000,0.001196
Contact54,-1015291.500000,-2899375.250000,-3300.000000,0.001389
Contact54,-1010666.687500,-2914210.000000,-3300.000000,0.001141
Contact54,-1010666.687500,-2914210.000000,-3300.000000,0.001141
Contact55,824221.312500,-2877112.000000,-15800.000000,0.001029
Contact55,809514.687500,-2891818.750000,-15800.000000,0.001151
Contact55,782450.187500,-2906083.250000,-15800.000000,0.000989
Contact55,762685.437500,-2925848.000000,-15800.000000,0.001439
Contact55,757310.750000,-2931222.500000,-15800.000000,0.001761
Contact56,-1516266.625000,-2882829.000000,-15800.000000,0.002857
Contact56,-1473600.000000,-2901017.250000,-15800.000000,0.003116
Contact56,-1422400.000000,-2902014.500000,-15800.000000,0.003834
Contact56,-1371200.000000,-2908066.750000,-15800.000000,0.004306
Contact56,-1337615.875000,-2925850.750000,-15800.000000,0.002947
Contact56,-1337615.875000,-2925850.750000,-15800.000000,0.002947
Contact57,-447466.656250,-2895589.250000,-15800.000000,0.004063
Contact57,-406421.343750,-2901312.000000,-15800.000000,0.005094
Contact57,-383669.468750,-2926772.750000,-15800.000000,0.005028
Contact57,-365054.062500,-2964012.500000,-15800.000000,0.006655
Contact57,-368533.343750,-2975319.500000,-15800.000000,0.006447
Contact58,-808496.875000,-2913103.250000,-15800.000000,0.004211
Contact58,-788772.375000,-2937094.250000,-15800.000000,0.005975
Contact58,-764342.625000,-2961524.000000,-15800.000000,0.006348
Contact58,-744963.312500,-2987303.250000,-15800.000000,0.004784
Contact58,-732681.250000,-2997452.000000,-15800.000000,0.004427
Contact58,-792886.125000,-2940266.750000,-3300.000000,0.004550
Contact58,-785041.250000,-2950425.500000,-3300.000000,0.006441
Contact58,-776089.625000,-2960443.750000,-3300.000000,0.005230
Contact58,-764843.375000,-2970623.250000,-3300.000000,0.007917
Contact58,-763754.750000,-2971712.000000,-3300.000000,0.007104
Contact59,-1781339.125000,-2941333.250000,-15800.000000,0.002213
Contact59,-1768465.375000,-2966468.000000,-15800.000000,0.003120
Contact59,-1747251.250000,-2981282.000000,-15800.000000,0.003211
Contact59,-1714520.125000,-2992680.000000,-15800.000000,0.002880
Contact59,-1712353.000000,-2992713.750000,-15800.000000,0.002877
Contact60,-611262.000000,-2952471.250000,-15800.000000,0.006360
Contact60,-558400.000000,-2959665.250000,-15800.000000,0.005032
